seq,latency_ns
5613,679106
5614,669574
5615,660061
5616,650485
5617,641074
5618,631490
5619,621939
5620,614361
5621,604776
5622,595219
5623,591486
5624,581663
5625,571781
5626,561894
5627,553460
5628,543524
5629,533584
5630,523704
5631,513751
5632,503807
5633,493926
5634,483973
5635,474041
5636,464132
5637,454177
5638,444541
5639,435011
5640,426057
5641,416364
5642,406816
5643,397212
5644,387668
5645,379512
5646,369938
5647,360408
5648,350897
5649,341413
5650,331884
5651,322300
5652,312757
5653,303097
5654,293548
5655,284046
5656,275154
5657,265609
5658,257972
5659,248543
5660,239032
5661,229445
5662,219861
5663,210325
5664,200650
5665,191287
5666,186441
5667,176605
5668,166731
5669,156850
5670,146905
5671,136951
5672,127060
5673,117183
5674,107306
5675,97786
5676,88473
5677,78903
5678,69328
5679,56513
5680,50075
5681,40710
5682,31094
5683,21486
5684,13351
5685,1061628
5686,1054427
5687,1045042
5688,1036604
5689,1027024
5690,1017546
5691,1007903
5692,998303
5693,988762
5694,979179
5695,969590
5696,960063
5697,957050
5698,947590
5699,938046
5700,928365
5701,918695
5702,909134
5703,899563
5704,890609
5705,881129
5706,871567
5707,861949
5708,852392
5709,847066
5710,837188
5711,827312
5712,817460
5713,807577
5714,797696
5715,787794
5716,777877
5717,768011
5718,758095
5719,748468
5720,739464
5721,729839
5722,721584
5723,712004
5724,702396
5725,692745
5726,683192
5727,673595
5728,663988
5729,656567
5730,646673
5731,636730
5732,626791
5733,616838
5734,606904
5735,597626
5736,588516
5737,578859
5738,569339
5739,559621
5740,549970
5741,540366
5742,530643
5743,520981
5744,511353
5745,501918
5746,492260
5747,482709
5748,474224
5749,464578
5750,455031
5751,448508
5752,438624
5753,428783
5754,418869
5755,408929
5756,399046
5757,389188
5758,379277
5759,369398
5760,359482
5761,350795
5762,341217
5763,331693
5764,322030
5765,312416
5766,302712
5767,293123
5768,284152
5769,274458
5770,264804
5771,255216
5772,245576
5773,237224
5774,227669
5775,218135
5776,208467
5777,199025
5778,189345
5779,179701
5780,170295
5781,160541
5782,150856
5783,141292
5784,132205
5785,122481
5786,114109
5787,104416
5788,95159
5789,85650
5790,76013
5791,66464
5792,56792
5793,47432
5794,37746
5795,31332
5796,13485
5797,11622
5798,1058574
5799,1053791
5800,1045651
5801,1036319
5802,1025798
5803,1017178
5804,1007590
5805,997917
5806,988358
5807,978827
5808,969191
5809,960171
5810,950608
5811,941082
5812,933385
5813,923779
5814,914133
5815,904550
5816,895866
5817,886344
5818,876821
5819,867276
5820,551034
5821,551013
5822,551054
5823,551044
5824,551072
5825,553185
5826,553238
5827,553313
5828,553384
5829,553371
5830,553347
5831,554929
5832,554914
5833,554883
5834,554913
5835,554900
5836,554896
5837,561760
5838,561806
5839,561844
5840,561878
5841,561864
5842,561859
5843,561898
5844,561899
5845,561889
5846,561857
5847,561840
5848,561833
5849,561825
5850,561804
5851,561226
5852,551311
5853,541375
5854,531422
5855,521529
5856,511597
5857,501644
5858,491788
5859,481846
5860,471911
5861,462040
5862,452187
5863,444392
5864,435754
5865,426168
5866,416501
5867,407015
5868,397306
5869,387915
5870,378314
5871,368687
5872,359128
5873,349710
5874,340002
5875,330322
5876,322638
5877,313055
5878,303420
5879,293880
5880,287643
5881,277763
5882,267929
5883,257974
5884,248065
5885,238171
5886,228275
5887,218334
5888,208470
5889,201643
5890,191993
5891,182441
5892,172704
5893,163077
5894,153512
5895,143953
5896,135015
5897,125464
5898,115847
5899,106318
5900,96718
5901,88888
5902,79187
5903,69992
5904,60425
5905,50934
5906,41341
5907,994332
5908,994346
5909,994406
5910,994397
5911,994429
5912,996280
5913,996317
5914,1001876
5915,1001949
5916,1001976
5917,1002042
5918,1002056
