seq,latency_ns
12269,534394
12270,530466
12271,526527
12272,522586
12273,518630
12274,514702
12275,510749
12276,506809
12277,502878
12278,498925
12279,494983
12280,491037
12281,487096
12282,483171
12283,479223
12284,475275
12285,471342
12286,467400
12287,463444
12288,459513
12289,455574
12290,451626
12291,447689
12292,443759
12293,439811
12294,435857
12295,431916
12296,427975
12297,424026
12298,421365
12299,417414
12300,413475
12301,409527
12302,405581
12303,401645
12304,397710
12305,393747
12306,389809
12307,385877
12308,381921
12309,377973
12310,374041
12311,370091
12312,366146
12313,362209
12314,358253
12315,354305
12316,350365
12317,346427
12318,342475
12319,338527
12320,334576
12321,330640
12322,326701
12323,322751
12324,318819
12325,314868
12326,310925
12327,306982
12328,303043
12329,299101
12330,295148
12331,291209
12332,287262
12333,283324
12334,279388
12335,275436
12336,271497
12337,267546
12338,263610
12339,259660
12340,255718
12341,251777
12342,247835
12343,243896
12344,239939
12345,235993
12346,232052
12347,228108
12348,224183
12349,220261
12350,216304
12351,212355
12352,208397
12353,204449
12354,200494
12355,196547
12356,192596
12357,188655
12358,184705
12359,180746
12360,176792
12361,172846
12362,168890
12363,164944
12364,161003
12365,157051
12366,153102
12367,149155
12368,145198
12369,141258
12370,137313
12371,133356
12372,129410
12373,125461
12374,121505
12375,117552
12376,113607
12377,109651
12378,105702
12379,101766
12380,97822
12381,93882
12382,89940
12383,85990
12384,82064
12385,78115
12386,74166
12387,70229
12388,66272
12389,62329
12390,58379
12391,54436
12392,50478
12393,47523
12394,43585
12395,39625
12396,35673
12397,31726
12398,1201166
12399,1197458
12400,1194952
12401,1191041
12402,1187101
12403,1183152
12404,1179238
12405,1175291
12406,1169837
12407,1167401
12408,1163467
12409,1159536
12410,1155568
12411,1151631
12412,1147691
12413,1143749
12414,1139809
12415,1135867
12416,1131929
12417,1127972
12418,1124032
12419,1120099
12420,1116157
12421,1112220
12422,1108273
12423,1104340
12424,1100403
12425,1096458
12426,1092514
12427,1088576
12428,1084621
12429,1080679
12430,1076744
12431,1072800
12432,1068848
12433,1064907
12434,1060960
12435,1057020
12436,1053077
12437,1049124
12438,1045187
12439,1041260
12440,1037300
12441,1033353
12442,1029417
12443,1025466
12444,1021523
12445,1017592
12446,1013646
12447,1009698
12448,1005754
12449,1001803
12450,997872
12451,993937
12452,989991
12453,986047
12454,982108
12455,978165
12456,974214
12457,970273
12458,966329
12459,962387
12460,958456
12461,954502
12462,950555
12463,946612
12464,942674
12465,938732
12466,934801
12467,930851
12468,926907
12469,922960
12470,919027
12471,915084
12472,911146
12473,907200
12474,903258
12475,899323
12476,895366
12477,891430
12478,887495
12479,883546
12480,879615
12481,875672
12482,871723
12483,867773
12484,863829
12485,859879
12486,855947
12487,852002
12488,848052
12489,844122
12490,840178
12491,836231
12492,832283
12493,828340
12494,824395
12495,820453
12496,816514
12497,812568
12498,808618
12499,804683
12500,800730
12501,796793
12502,792836
12503,790285
12504,786344
12505,782425
12506,778487
12507,774574
12508,770634
12509,766687
12510,762756
12511,758811
12512,754866
12513,750914
12514,746972
12515,743037
12516,739093
12517,735162
12518,731207
12519,727269
12520,723325
12521,719378
12522,715435
12523,711495
12524,707548
12525,703602
12526,699672
12527,695717
12528,691776
12529,687836
12530,683881
12531,679942
12532,676015
12533,672065
12534,668113
12535,664173
12536,660225
12537,656291
12538,652336
12539,648391
12540,644451
12541,640523
12542,636568
12543,632625
12544,628685
12545,624730
12546,620788
12547,616867
12548,612905
12549,608966
12550,605026
12551,601080
12552,597141
12553,593196
12554,589239
12555,585308
12556,581361
12557,577416
12558,573476
12559,569531
12560,565591
12561,561647
12562,557707
12563,553756
12564,549812
12565,545866
12566,541922
12567,537995
12568,534060
12569,530114
12570,526167
12571,522227
12572,518291
12573,514341
12574,510397
12575,506454
12576,502514
12577,498584
12578,501399
12579,497498
12580,493588
12581,489649
12582,485721
12583,481784
12584,477832
12585,473902
12586,469961
12587,466017
12588,462071
12589,458129
12590,454176
12591,450240
12592,446297
12593,442341
12594,438408
12595,434461
12596,430508
12597,426570
12598,422638
12599,418693
12600,414745
12601,410801
12602,406856
12603,402918
12604,398964
12605,396242
12606,392296
12607,388350
12608,384403
12609,380443
12610,376494
12611,372550
12612,368609
12613,364671
12614,360720
12615,356759
12616,352807
12617,348863
12618,344916
12619,340955
12620,337014
12621,333068
12622,329129
12623,325165
12624,321217
12625,317274
12626,313313
12627,309388
12628,305442
12629,301484
12630,297535
12631,293586
12632,289630
12633,285686
12634,281746
12635,277792
12636,273845
12637,269887
12638,265942
12639,261984
12640,258035
12641,254084
12642,250137
12643,246193
12644,242232
12645,238280
12646,234344
12647,230380
12648,226435
12649,222496
12650,218545
12651,214581
12652,210638
12653,206684
12654,202735
12655,198787
12656,193237
12657,190893
12658,186939
12659,182985
12660,179033
12661,175093
12662,171133
12663,167190
12664,163239
12665,159275
12666,155338
12667,151377
12668,147421
12669,143473
12670,139521
12671,135567
12672,131620
12673,127684
12674,123713
